id,name,url,description,section_l1,section_l2,platforms,is_open_source,is_recommended,source_file,source_line
1password-1password-com,1Password,https://1password.com,Advanced password management with family sharing options. 🤖 🍎,Security,Password Managers,android|ios|mobile,false,false,MOBILE.md,284
7-zip-7-zip-org,7-Zip,https://7-zip.org/download.html,"Archive manager supporting 7z, ZIP, and other formats. 🪟 🟢 ⭐",Compression and Archiving,,general|windows,true,true,README.md,191
a-gallery-play-google,A+ Gallery,https://play.google.com/store/apps/details?id=com.atomicadd.filedir,"Organize and view photos by date, location, and albums. 🤖",Image Viewers,,android|mobile,false,false,MOBILE.md,290
ab-download-manager-abdownloadmanager-com,AB Download Manager,https://abdownloadmanager.com,Easily download files from anywhere. 🪟 🐧 🟢 ⭐,Download Managers,,general|linux|windows,true,true,README.md,421
abcjs-abcjs-net,ABCjs,https://abcjs.net,Tool for writing and playing ABC music notation. 🪟 🍎 🐧,Audio,Music Notation,general|linux|macos|windows,false,false,README.md,117
adapter-macroplant-com,Adapter,https://macroplant.com/adapter/video-converter,"Media converter app for video, audio, and images on Mac and Windows. 🪟 🍎",Video,Video Converters and Compressors,macos|windows,false,false,README.md,631
adm-advanced-download-manager-play-google,ADM (Advanced Download Manager),https://play.google.com/store/apps/details?id=com.dv.adm,Powerful download manager with split download support. 🤖,Download Managers,,android|mobile,false,false,MOBILE.md,254
adobe-acrobat-reader-adobe-com,Adobe Acrobat Reader,https://www.adobe.com/acrobat/mobile-app.html,"View, annotate, and sign PDFs with advanced tools. 🤖 🍎",Documents,PDF Tools,android|ios|mobile,false,false,MOBILE.md,225
adobe-express-adobe-com,Adobe Express,https://www.adobe.com/express,Create graphics and collages with Adobe’s design tools. 🤖 🍎,Graphics Tools,,android|ios|mobile,false,false,MOBILE.md,263
adobe-premiere-rush-adobe-com,Adobe Premiere Rush,https://www.adobe.com/products/premiere-rush.html,Mobile version of Premiere Pro for editing and sharing videos. 🤖 🍎,Video,Video Editors,android|ios|mobile,false,false,MOBILE.md,307
